              Extracted                 Real                 Diag
0   -3.898941-1.388255j  -3.898934-1.388299j  -3.898941-1.388255j
1   -3.898934-1.388299j  -3.693820+1.435202j  -3.693820+1.435202j
2   -3.693820+1.435202j  -3.692109+0.805636j  -3.692109+0.805636j
3   -3.692109+0.805636j  -3.622096+2.346948j  -3.622096+2.346948j
4   -3.622096+2.346948j  -3.559132+0.433821j  -3.559132+0.433821j
5   -3.559132+0.433821j  -3.368242-1.018864j  -3.368222-1.018902j
6   -3.368242-1.018864j  -3.148026+0.063957j  -3.148026+0.063957j
7   -3.368222-1.018902j  -3.028658-2.500872j  -3.028658-2.500872j
8   -3.148026+0.063957j  -2.992079+1.490733j  -2.992079+1.490733j
9   -3.028658-2.500872j  -2.972331-1.534155j  -2.972331-1.534155j
10  -2.992079+1.490733j  -2.673111-1.058654j  -2.673111-1.058654j
11  -2.972331-1.534155j  -2.654125+0.174798j  -2.654125+0.174798j
12  -2.673111-1.058654j  -2.579565-0.792128j  -2.579565-0.792128j
13  -2.654125+0.174798j  -2.561583+1.362989j  -2.561583+1.362989j
14  -2.579565-0.792128j  -2.519951+2.775334j  -2.519951+2.775334j
15  -2.561583+1.362989j  -2.478197+1.864556j  -2.478197+1.864556j
16  -2.519951+2.775334j  -2.395716-2.049808j  -2.381047-2.124218j
17  -2.478197+1.864556j  -2.217339+1.113662j  -2.217339+1.113662j
18  -2.395716-2.049808j  -2.170049-2.249763j  -2.184718-2.175354j
19  -2.381047-2.124218j  -2.055731-0.708495j  -2.055731-0.708495j
20  -2.217339+1.113662j  -1.975670+0.972515j  -1.943306+0.946724j
21  -2.170049-2.249763j  -1.824195-0.213009j  -1.824195-0.213009j
22  -2.055731-0.708495j  -1.721501-2.136180j  -1.721501-2.136180j
23  -1.975670+0.972515j  -1.709621-3.538547j  -1.709614-3.538590j
24  -1.824195-0.213009j  -1.642400-1.597471j  -1.642400-1.597471j
25  -1.721501-2.136180j  -1.597670-0.885145j  -1.597670-0.885145j
26  -1.709621-3.538547j  -1.522210+2.329011j  -1.522210+2.329011j
27  -1.642400-1.597471j  -1.373728+3.268292j  -1.373728+3.268292j
28  -1.597670-0.885145j  -1.360562-1.601144j  -1.360562-1.601144j
29  -1.522210+2.329011j  -1.260260-0.473959j  -1.260260-0.473959j
30  -1.373728+3.268292j  -1.197422+0.409943j  -1.197422+0.409943j
31  -1.360562-1.601144j  -1.179586+1.457390j  -1.179586+1.457390j
32  -1.179586+1.457390j  -1.146011+3.322899j  -1.146011+3.322899j
33  -1.146011+3.322899j  -1.097043+2.323088j  -1.097043+2.323088j
34  -1.097043+2.323088j  -1.017872+1.947992j  -1.017872+1.947992j
35  -1.017872+1.947992j  -1.014705+3.608307j  -1.014705+3.608307j
36  -1.014705+3.608307j  -0.896164-2.712028j  -0.896164-2.712028j
37  -0.896164-2.712028j  -0.894077-3.740561j  -0.894077-3.740561j
38  -0.894077-3.740561j  -0.862677-0.434155j  -0.862677-0.434155j
39  -0.613056-2.085387j  -0.613056-2.085387j  -0.613056-2.085387j
40  -0.458786+1.745700j  -0.574955-0.770519j  -0.574955-0.770519j
41  -0.352620+2.827444j  -0.534005+0.149695j  -0.534005+0.149695j
42  -0.322460-1.310777j  -0.458786+1.745700j  -0.458786+1.745700j
43  -0.289023-3.359405j  -0.352620+2.827444j  -0.352620+2.827444j
